condition,layer,alpha,mean_extraversion,mean_fluency,responses
baseline,18,0.0,0.426473920931044,0.9910420452555021,24
steered,6,-12.0,0.4292613416118117,0.9892275730768839,24
steered,6,-8.0,0.42402625401381794,0.9891156628727913,24
steered,6,-4.0,0.4267161090098734,0.9901598319411278,24
steered,6,4.0,0.44338596223725874,0.9908093884587288,24
steered,6,8.0,0.445862978543268,0.9904231131076813,24
steered,6,12.0,0.45517605436730607,0.9894058505694071,24
steered,12,-12.0,0.4187301831782724,0.9882771596312523,24
steered,12,-8.0,0.4195110772396846,0.988299697637558,24
steered,12,-4.0,0.4243432824940256,0.9910317262013754,24
steered,12,4.0,0.4507918415192347,0.9915916919708252,24
steered,12,8.0,0.45848693328083123,0.9924800843000412,24
steered,12,12.0,0.4445446866726508,0.9901241958141327,24
steered,18,-12.0,0.4056125919448444,0.9927350829044977,24
steered,18,-8.0,0.42261015594521073,0.9903245071570078,24
steered,18,-4.0,0.4216188832040451,0.9902898271878561,24
steered,18,4.0,0.4654459987626021,0.9917358905076981,24
steered,18,8.0,0.48423027669982893,0.9910300125678381,24
steered,18,12.0,0.4812248345966654,0.9891515821218491,24
steered,24,-12.0,0.4031294402497731,0.9910933549205462,24
steered,24,-8.0,0.41173079271334934,0.9912374466657639,24
steered,24,-4.0,0.42775769785391643,0.9909349655111631,24
steered,24,4.0,0.44969172887690023,0.9907426163554192,24
steered,24,8.0,0.4516427412917164,0.9905552193522453,24
steered,24,12.0,0.4566521148972318,0.9912397190928459,24
steered,30,-12.0,0.42695495779616105,0.9903297250469526,24
steered,30,-8.0,0.4311522160061197,0.9902136673529943,24
steered,30,-4.0,0.42789695148879753,0.9903357898195585,24
steered,30,4.0,0.4475299636058305,0.9904152428110441,24
steered,30,8.0,0.4525144023698459,0.9910229767362276,24
steered,30,12.0,0.4525144023698459,0.9910229767362276,24
