condition,layer,alpha,mean_concept_score,mean_fluency,responses
baseline,18,0.0,0.5947536045317995,0.9892304862538973,24
steered,6,-12.0,0.5791790183957016,0.9849906961123148,24
steered,6,-8.0,0.5600064801075854,0.9859885424375534,24
steered,6,-4.0,0.5767342967050753,0.9879173934459686,24
steered,6,4.0,0.6031010789016357,0.9762179652849833,24
steered,6,8.0,0.6258554011366042,0.9844934691985449,24
steered,6,12.0,0.6234314514864784,0.9853255127867063,24
steered,12,-12.0,0.584990604645976,0.9806954686840376,24
steered,12,-8.0,0.5973428364907306,0.9884052152434984,24
steered,12,-4.0,0.5995097542104381,0.9878075420856476,24
steered,12,4.0,0.6077600521360113,0.9868460148572922,24
steered,12,8.0,0.5855281587474771,0.9878085354963938,24
steered,12,12.0,0.6072668633835425,0.9879665027062098,24
steered,18,-12.0,0.5876817887885672,0.9655690540870031,24
steered,18,-8.0,0.5916019837928675,0.9899620984991392,24
steered,18,-4.0,0.5807268028563625,0.9891906132300695,24
steered,18,4.0,0.611185485560926,0.9843920146425565,24
steered,18,8.0,0.6290317811906971,0.9859020660320917,24
steered,18,12.0,0.608606709766099,0.9873876745502154,24
steered,24,-12.0,0.5904901524504146,0.9901983439922333,24
steered,24,-8.0,0.5923584935675347,0.9891951605677605,24
steered,24,-4.0,0.5926934096880562,0.989823025961717,24
steered,24,4.0,0.590470301546263,0.9891150494416555,24
steered,24,8.0,0.61414624909981,0.9889225115378698,24
steered,24,12.0,0.6019518651484718,0.9858377004663149,24
steered,30,-12.0,0.5740936329245354,0.9883460079630216,24
steered,30,-8.0,0.5895283461662487,0.9880353187521299,24
steered,30,-4.0,0.5914233504891896,0.9879868179559708,24
steered,30,4.0,0.5953603151386354,0.9892304713527361,24
steered,30,8.0,0.6091132602735453,0.9900390282273293,24
steered,30,12.0,0.6034272256034704,0.9900351216395696,24
