condition,layer,alpha,mean_concept_score,mean_fluency,responses
baseline,18,0.0,0.5711965435386771,0.9909163415431976,24
steered,6,-12.0,0.5342160945166579,0.9755376776059469,24
steered,6,-8.0,0.5712975659650497,0.9799266830086708,24
steered,6,-4.0,0.5758791272204793,0.9838541696468989,24
steered,6,4.0,0.576320004688172,0.9901117434104284,24
steered,6,8.0,0.5532859020886175,0.9907721777757009,24
steered,6,12.0,0.5623290937817509,0.9890996913115183,24
steered,12,-12.0,0.5649425507340018,0.9891960819562277,24
steered,12,-8.0,0.566480660157301,0.9889794786771139,24
steered,12,-4.0,0.5764282649944663,0.9911791533231735,24
steered,12,4.0,0.5801371094188011,0.9907431279619535,24
steered,12,8.0,0.5709019895727819,0.9760269373655319,24
steered,12,12.0,0.5662393045675894,0.9760917623837789,24
steered,18,-12.0,0.5601605061658904,0.9896295617024103,24
steered,18,-8.0,0.5620178657504303,0.9901370902856191,24
steered,18,-4.0,0.5666437634251117,0.9905326763788859,24
steered,18,4.0,0.5726179622008545,0.984740674495697,24
steered,18,8.0,0.575338457144399,0.9743159338831902,24
steered,18,12.0,0.5823789387265084,0.98485050847133,24
steered,24,-12.0,0.5494297001540278,0.9909334306915601,24
steered,24,-8.0,0.5714082647998114,0.9910195767879486,24
steered,24,-4.0,0.5730122164406358,0.9911912505825361,24
steered,24,4.0,0.5715364075151874,0.9910226886471113,24
steered,24,8.0,0.5739762999930992,0.9739042570193609,24
steered,24,12.0,0.585037931221467,0.9843962863087654,24
steered,30,-12.0,0.5797100504561263,0.9909189020593961,24
steered,30,-8.0,0.571717590022595,0.9909163589278857,24
steered,30,-4.0,0.5719938691043298,0.9909163589278857,24
steered,30,4.0,0.5715172526806833,0.9909163589278857,24
steered,30,8.0,0.5715172526806833,0.9909163589278857,24
steered,30,12.0,0.5785110925668899,0.9910312369465828,24
