condition,layer,alpha,mean_concept_score,mean_fluency,responses
baseline,18,0.0,0.38976333683542236,0.9855304782589277,24
steered,6,-12.0,0.3513724492150809,0.987852061788241,24
steered,6,-8.0,0.3885838429281559,0.988216313223044,24
steered,6,-4.0,0.3902575267394204,0.9868128349383672,24
steered,6,4.0,0.4024917633803072,0.987158698340257,24
steered,6,8.0,0.37455406826924836,0.9826611305276552,24
steered,6,12.0,0.4002521270744823,0.9857395440340042,24
steered,12,-12.0,0.3591570125355817,0.9849380751450857,24
steered,12,-8.0,0.37721682101008636,0.9852124104897181,24
steered,12,-4.0,0.398010087832445,0.9873637706041336,24
steered,12,4.0,0.403172019577275,0.9837981586654981,24
steered,12,8.0,0.40077312572690976,0.9812644869089127,24
steered,12,12.0,0.39645995474497225,0.9712984363238016,24
steered,18,-12.0,0.3468669974944638,0.9892601420482,24
steered,18,-8.0,0.3555167384875737,0.991368571917216,24
steered,18,-4.0,0.3817236427539081,0.9876994242270788,24
steered,18,4.0,0.42198967587738556,0.9839621732632319,24
steered,18,8.0,0.43178874631372594,0.9765731816490492,24
steered,18,12.0,0.4145695373164337,0.9737112546960512,24
steered,24,-12.0,0.3532065796534199,0.9877298871676127,24
steered,24,-8.0,0.37097300516685183,0.9858351474006971,24
steered,24,-4.0,0.38633574633261936,0.9882563427090645,24
steered,24,4.0,0.40232029401448494,0.9864529396096865,24
steered,24,8.0,0.4025046713625126,0.9874440183242162,24
steered,24,12.0,0.4231525037009533,0.9891588365038236,24
steered,30,-12.0,0.38546999526038056,0.9876749391357104,24
steered,30,-8.0,0.3934804414451314,0.985545334716638,24
steered,30,-4.0,0.38971444966664276,0.9859344412883123,24
steered,30,4.0,0.39940635054527157,0.9850424577792486,24
steered,30,8.0,0.4007263966548915,0.9849909469485283,24
steered,30,12.0,0.4001020333907958,0.9856992065906525,24
