condition,layer,alpha,mean_concept_score,mean_fluency,responses
baseline,18,0.0,0.426473920931044,0.9910420452555021,24
steered,6,-12.0,0.4292613416118117,0.9892275730768839,24
steered,6,-8.0,0.42402625401381794,0.9891156628727913,24
steered,6,-4.0,0.4267161090098734,0.9901598319411278,24
steered,6,4.0,0.44338596223725874,0.9908093884587288,24
steered,6,8.0,0.445862978543268,0.9904231131076813,24
steered,6,12.0,0.45517605436730607,0.9894058505694071,24
steered,12,-12.0,0.4189397831005754,0.9882771596312523,24
steered,12,-8.0,0.4197618115717198,0.9882997026046118,24
steered,12,-4.0,0.4242297254507907,0.9910317262013754,24
steered,12,4.0,0.4502947713531967,0.991591696937879,24
steered,12,8.0,0.45848693328083123,0.9924800843000412,24
steered,12,12.0,0.4445446866726508,0.9901241958141327,24
steered,18,-12.0,0.4056125919448444,0.9927350829044977,24
steered,18,-8.0,0.42261015594521073,0.9903245071570078,24
steered,18,-4.0,0.4216188832040451,0.9902898271878561,24
steered,18,4.0,0.4654459987626021,0.9917358905076981,24
steered,18,8.0,0.48423027669982893,0.9910300125678381,24
steered,18,12.0,0.4812248345966654,0.9891515821218491,24
steered,24,-12.0,0.4031294402497731,0.9910933549205462,24
steered,24,-8.0,0.41173079271334934,0.9912374466657639,24
steered,24,-4.0,0.42775769785391643,0.9909349655111631,24
steered,24,4.0,0.44969172887690023,0.9907426163554192,24
steered,24,8.0,0.45123615867308153,0.9905552143851916,24
steered,24,12.0,0.45668209723223135,0.9912397091587385,24
steered,30,-12.0,0.42659603336864255,0.9903297250469526,24
steered,30,-8.0,0.4310300375050627,0.9902136574188868,24
steered,30,-4.0,0.42716003465650343,0.9903357848525047,24
steered,30,4.0,0.4470325658370132,0.9904152279098829,24
steered,30,8.0,0.45257240245071967,0.9910229593515396,24
steered,30,12.0,0.45257240245071967,0.9910229593515396,24
