condition,layer,alpha,mean_concept_score,mean_fluency,responses
baseline,18,0.0,0.2683796863208014,0.9923172394434611,24
steered,6,-12.0,0.28803381872610895,0.9925112277269363,24
steered,6,-8.0,0.2922852107804515,0.9887934699654579,24
steered,6,-4.0,0.2754219971757076,0.9919678842027982,24
steered,6,4.0,0.269033487426785,0.9923015808065733,24
steered,6,8.0,0.27272313811263416,0.9925599520405134,24
steered,6,12.0,0.29331546249663476,0.991821363568306,24
steered,12,-12.0,0.28679087492018424,0.992059330145518,24
steered,12,-8.0,0.27494668709767517,0.9920194347699484,24
steered,12,-4.0,0.27207535067872646,0.9919828424851099,24
steered,12,4.0,0.27780826948800996,0.9927133098244667,24
steered,12,8.0,0.27881221942926304,0.9901688893636068,24
steered,12,12.0,0.2690675551106405,0.9896013041337332,24
steered,18,-12.0,0.2726395189998541,0.9920774127046267,24
steered,18,-8.0,0.26218409933017145,0.9924289112289747,24
steered,18,-4.0,0.26284811146748827,0.9917035599549612,24
steered,18,4.0,0.323668423548076,0.9933095648884773,24
steered,18,8.0,0.3073116425785469,0.9933544769883156,24
steered,18,12.0,0.3039836414205607,0.9898800104856491,24
steered,24,-12.0,0.26663989399547566,0.9917869319518408,24
steered,24,-8.0,0.2673362730407332,0.9922318756580353,24
steered,24,-4.0,0.2652940288403138,0.992541087170442,24
steered,24,4.0,0.2839792990619878,0.9929962654908498,24
steered,24,8.0,0.2975134030046697,0.9932104423642159,24
steered,24,12.0,0.3248165149068134,0.9932324563463529,24
steered,30,-12.0,0.2674021960724597,0.9923738092184067,24
steered,30,-8.0,0.26829070101717256,0.9923172245422999,24
steered,30,-4.0,0.26864778039939546,0.9923479904731115,24
steered,30,4.0,0.2710926000636136,0.9922950714826584,24
steered,30,8.0,0.27552489794038537,0.9922951062520345,24
steered,30,12.0,0.27130359387466846,0.9923258374134699,24
